t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
21,100.0,289.92465317284757,1356.87557370924,781.0487201780255,3630.523081757426,500.0,287.93247284260735,max_safe_rate,11,11
22,100.0,291.6639306506232,1338.0537301418665,777.9459699306956,3596.936822532189,500.0,292.701365747237,max_safe_rate,11,11
23,100.0,292.5227231677913,1321.0290248988451,790.5173927431161,3600.2156664301237,500.0,293.94675901497766,max_safe_rate,11,11
24,100.0,295.4779741581336,1328.3850510406676,790.6645124122954,3625.2059355998986,500.0,294.56168931387117,max_safe_rate,11,11
25,100.0,295.7737332874673,1312.8455411196667,790.5486971308355,3602.400246429109,500.0,296.67776897044394,max_safe_rate,11,11
26,100.0,299.2176157496322,1298.8560664096492,797.6602585663537,3610.3893930186596,500.0,296.8895445112945,max_safe_rate,11,11
27,100.0,297.65546622879316,1297.8361237778156,797.3721884054332,3594.8304714538167,500.0,299.35550413422686,max_safe_rate,11,11
28,100.0,299.30335516248624,1305.3648298700073,804.3014977444648,3598.821181006313,500.0,298.23694167290796,max_safe_rate,11,11
29,100.0,297.7202066934144,1304.910530155402,799.3815865776977,3626.725764753434,500.0,299.41689703381473,max_safe_rate,11,11
30,100.0,300.71419232310217,1305.0056233796038,804.7728938869519,3580.201409561868,500.0,298.2832984732575,max_safe_rate,11,11
31,100.0,298.6573722578253,1295.8895034361358,797.6737995514184,3576.364403392857,500.0,300.42711370376,max_safe_rate,11,11
32,100.0,300.6765396280766,1299.9305852882508,793.5701992005402,3582.541319916347,500.0,298.95434705497564,max_safe_rate,11,11
33,100.0,300.2726915337943,1306.438306137042,807.5884446096915,3653.0499566619715,500.0,300.40015284587724,max_safe_rate,11,11
34,100.0,300.4799711319884,1294.2712561050587,791.192128259782,3605.2434243392986,500.0,300.1109812190174,max_safe_rate,11,11
35,100.0,298.6797182410997,1297.8055350886343,797.3496691531794,3597.7693955410205,500.0,300.2594018243719,max_safe_rate,11,11
36,100.0,301.5260119683807,1301.3839585122603,799.2204326187285,3581.5748197991043,500.0,298.9703476859771,max_safe_rate,11,11
37,100.0,297.4364111906782,1297.0983654341983,799.6808981470999,3631.98011684936,500.0,301.00840951984947,max_safe_rate,11,11
38,100.0,300.1581280216606,1306.5750196846777,797.9284846593665,3578.7821284206852,500.0,298.0800893746295,max_safe_rate,11,11
39,100.0,298.52575609638876,1295.4190344944286,808.4599154961231,3585.2948036134553,500.0,300.0289490944351,max_safe_rate,11,11
40,100.0,301.2385239451451,1294.2261898271317,803.6878545239616,3606.9866168307967,500.0,298.860104541361,max_safe_rate,11,11
41,100.0,299.751346888061,1299.803564614974,797.3535249687747,3608.0705123432485,500.0,300.8025564266722,max_safe_rate,11,11
42,100.0,299.30772562745307,1292.082369079117,794.8687322250462,3603.136072430447,500.0,299.73767729237807,max_safe_rate,11,11
43,100.0,302.3615439122879,1301.075160680259,799.5113802270756,3605.1660129112997,500.0,299.420026464119,max_safe_rate,11,11
44,100.0,301.95392716110416,1301.4512265335627,798.3462267503038,3619.9284080295806,500.0,301.6066843041899,max_safe_rate,11,11
45,100.0,300.63951378579856,1310.000618300669,800.7257048761195,3577.9703304450304,500.0,301.3148141660266,max_safe_rate,11,11
46,100.0,297.9451899933842,1310.7440830024655,806.8894404228265,3596.776413943527,500.0,300.37364084000427,max_safe_rate,11,11
47,100.0,299.4233675316239,1309.508730879608,795.5681277263499,3583.900453884906,500.0,298.4443956476398,max_safe_rate,11,11
48,100.0,300.96365672167565,1297.4416995628587,799.97685421155,3597.062012152321,500.0,299.50283076116955,max_safe_rate,11,11
49,100.0,300.5054078059423,1309.1534276595726,800.3604339454481,3611.593764707516,500.0,300.60574033837946,max_safe_rate,11,11
50,100.0,296.9240664125848,1299.6867417131677,796.6257198105415,3578.0633997301634,500.0,300.27761551534456,max_safe_rate,11,11
51,100.0,298.68228461316744,1297.8306384681705,803.6626277239136,3576.1263883022743,500.0,297.7132297185063,max_safe_rate,11,11
52,100.0,300.0455968132777,1296.854646302106,798.6886080267232,3618.0506972414114,500.0,298.97218531254134,max_safe_rate,11,11
53,100.0,300.806921427556,1308.6943513546746,799.3814755659431,3587.4737835265773,500.0,299.9483721818254,max_safe_rate,11,11
54,100.0,299.66403208906763,1301.5771296686037,800.7059333422662,3580.4815514346647,500.0,300.4935115062304,max_safe_rate,11,11
55,100.0,300.13560571948574,1301.484129354527,810.069635115971,3633.783593315712,500.0,299.6751563523728,max_safe_rate,11,11
56,100.0,298.72004301113316,1298.1324692716023,794.1460486301562,3589.3675500014497,500.0,300.0128222119445,max_safe_rate,11,11
57,100.0,300.47334122424337,1307.8383814143274,797.083532778082,3588.2255619595817,500.0,298.99922185801955,max_safe_rate,11,11
58,100.0,296.77901954680203,1298.9429084120638,795.7502480209594,3590.470232183901,500.0,300.2546545413323,max_safe_rate,11,11
59,100.0,298.6846750054532,1299.3874631985793,792.9690190792685,3573.5932867640645,500.0,297.6093702754554,max_safe_rate,11,11
60,100.0,303.19384606380686,1291.6318741634216,795.6128092630896,3633.064517215737,500.0,298.97389693043897,max_safe_rate,11,11
61,100.0,304.3575830564884,1292.384903621677,798.5269693491005,3606.1480523382775,500.0,302.2026464260897,max_safe_rate,11,11
62,100.0,302.5930338594053,1293.5854911776776,799.0188636485558,3613.9921140123524,500.0,303.0359293465125,max_safe_rate,11,11
63,100.0,300.6521401361867,1297.5550302330041,799.4646902418324,3575.251902132769,500.0,301.77244050202114,max_safe_rate,11,11
64,100.0,299.642732974394,1298.2685133586356,800.9286667090337,3590.0041292596607,500.0,300.38268181935945,max_safe_rate,11,11
65,100.0,300.7073031747901,1306.5826759231777,800.621708107154,3606.3316291700066,500.0,299.6599053217798,max_safe_rate,11,11
66,100.0,300.0797297257465,1300.0005650288242,797.1137613001129,3605.696906609995,500.0,300.42218079395246,max_safe_rate,11,11
67,100.0,299.8540677427405,1313.6056059355253,806.2934148511821,3606.9452450420436,500.0,299.9728127325369,max_safe_rate,11,11
68,100.0,298.8554125003334,1292.769333842956,804.7645684090497,3604.7294911340505,500.0,299.81122959355434,max_safe_rate,11,11
69,100.0,300.72021389010877,1288.6601970921479,803.7097514908539,3608.179569732327,500.0,299.0961519066528,max_safe_rate,11,11
70,100.0,298.334353109715,1296.9350930837638,801.0548670781652,3600.9444049765516,500.0,300.4314253901397,max_safe_rate,11,11
71,100.0,299.5617425999069,1299.3273293674456,798.9920892441468,3602.746127086159,500.0,298.7230522342537,max_safe_rate,11,11
