t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
0,5.0,18.830156684255577,2687.310243042949,238.18346563971426,4435.927771771421,100.0,19.279911455693934,max_safe_rate,11,11
1,10.0,40.51411159654096,2586.3338890120835,282.2707387885409,4395.475059690498,100.0,40.616908722033344,max_safe_rate,21,21
2,15.0,61.98861274242556,2504.1942817854806,324.69352373087986,4295.56018987584,100.0,62.170174431885044,max_safe_rate,21,21
3,20.0,82.58542493079266,2376.3845535410296,366.46946299818813,4251.638086600933,100.0,82.62717154944012,max_safe_rate,21,21
4,23.0,99.75788892977921,2292.9158516822176,402.1436143512033,4197.203988708242,100.0,100.11991793990171,target_achieved,21,21
5,18.0,107.394960480276,2257.890316812155,416.3561201000631,4184.756159096215,100.0,107.72558496135238,target_achieved,21,21
6,13.0,108.00125462618654,2265.9764822671505,420.00756129417334,4168.1761999135615,100.0,107.79184944931706,target_achieved,21,21
7,8.0,101.02062632007312,2284.2675243588637,403.7998957524315,4219.846663122236,100.0,101.63585806960182,target_achieved,21,21
8,10.5,100.06957005760779,2289.7077803234088,398.60322549260314,4213.281365140466,100.0,100.1308585911889,target_achieved,21,21
9,11.0,100.32007000566563,2306.503802525953,398.5665900538705,4205.029665230829,100.0,100.09650677874069,target_achieved,21,21
10,11.0,99.87934258516135,2303.4103766565586,401.383506712502,4205.23279436828,100.0,100.27587490882169,target_achieved,21,21
11,11.0,100.06826430440807,2302.128990973848,400.0369073593421,4214.070437094914,100.0,99.96029618753181,target_achieved,21,21
12,11.0,98.93811732674313,2297.9998526175314,398.3893320306989,4187.587600541226,100.0,100.09557180645189,target_achieved,21,21
13,11.5,100.11331110529002,2315.926296567579,398.7686182554984,4219.576513025468,100.0,99.91844131686805,target_achieved,21,21
14,11.0,99.19616817963457,2295.9595288657697,400.4014121610606,4212.196569029256,100.0,100.12782714423926,target_achieved,21,21
15,11.5,100.87643518162754,2306.5183182792075,400.3386927406453,4188.737282570028,100.0,100.10321620128543,target_achieved,21,21
16,10.5,100.00849170870175,2299.8914980813856,396.6165685343836,4177.44995107207,100.0,100.02761188364362,target_achieved,21,21
17,11.0,99.1002041506964,2307.9333542803397,399.4000174738046,4215.8310779080875,100.0,100.05277220188088,target_achieved,21,21
18,11.5,99.96102366662623,2300.947393307114,401.6023234943356,4192.979463150716,100.0,100.03450206158547,target_achieved,21,21
19,11.0,100.21166915453144,2292.470977490276,399.2405921288864,4192.033449818159,100.0,100.01878315712577,target_achieved,21,21
20,11.0,99.24895875806592,2306.372271238127,398.7538334593501,4200.724532771458,100.0,100.19825549964466,target_achieved,21,21
21,11.5,100.62271785820387,2303.2237121488943,402.09616353760083,4196.788085266625,100.0,100.141016398102,target_achieved,21,21
22,10.5,99.27218763209706,2301.668499622742,395.59954303608396,4171.151184074029,100.0,99.8459399822141,target_achieved,21,21
23,11.5,99.45902121021822,2287.928820503313,401.0423776489515,4180.623068454073,100.0,100.15764921471995,target_achieved,21,21
24,16.5,106.08265024769481,2283.3189659411687,411.8323111294385,4196.567475026043,150.0,105.9800409877752,max_safe_rate,21,21
25,21.5,115.0476720184532,2219.78130577054,429.1263606172365,4146.197843805728,150.0,115.59655512624737,max_safe_rate,21,21
26,26.5,127.13112254118748,2148.2883951049002,454.1828221598448,4125.099961539916,150.0,126.34856765573042,max_safe_rate,21,21
27,31.5,138.0299464178585,2092.5539371835353,477.054427765473,4073.862306370279,150.0,138.94049463085173,max_safe_rate,21,21
28,36.0,150.39659859702826,2049.114696494336,504.4516672318279,4044.4883449142794,150.0,150.02991160709288,target_achieved,21,21
29,31.0,154.1941078195676,2026.8789572115672,510.53546979042096,4062.460109777562,150.0,155.22035500192828,target_achieved,21,21
30,26.0,155.06036196702485,2031.5405785197613,512.55405266688,4012.7595115688932,150.0,153.9652864851675,target_achieved,21,21
31,21.0,149.13552830105567,2042.4231197633333,498.2551948871434,4023.271813997839,150.0,150.2067410831346,target_achieved,21,21
32,25.5,150.6234227682175,2046.9900617102492,496.6140161727567,4028.9969747382775,150.0,149.92542104215968,target_achieved,21,21
33,24.5,149.91231876036153,2060.209107663293,504.34076877869666,4109.9867366415965,150.0,150.14290328507053,target_achieved,21,21
34,25.0,150.07938234815032,2041.0062519950573,494.2129157871475,4056.1149231028094,150.0,150.0598000047066,target_achieved,21,21
