t,choke_cmd,Q,WHP,FLP,BHP,target_Q,predicted_Q,reason,n_feasible,n_candidates
21,16.5,120.44385852360041,2204.134922912425,441.77495455575297,4137.496465929551,120.0,119.8045564996902,target_achieved,21,21
22,15.5,119.32228688217182,2201.245417718084,435.44576349685605,4111.309453035583,120.0,119.9459797116948,target_achieved,21,21
23,16.5,119.42805673371197,2187.9200867521727,441.3267000413491,4120.590157494653,120.0,120.20294541751159,target_achieved,21,21
24,16.0,119.93269575815879,2213.4868396363413,439.53544085970543,4154.7851165147895,120.0,119.7527958746347,target_achieved,21,21
25,16.0,119.5538647885726,2197.1679241866345,438.1380034778253,4132.638887313785,120.0,120.11413789838647,target_achieved,21,21
26,16.0,120.58662295042993,2180.592554623037,441.12027494834444,4144.674554770577,120.0,119.84287954820206,target_achieved,21,21
27,15.5,119.16802674729573,2186.460623125598,439.2045408714376,4130.466413285881,120.0,120.04820483581574,target_achieved,21,21
28,16.5,120.32552302467818,2199.3117658687793,443.8982905975168,4134.488901471295,120.0,120.09248889984244,target_achieved,21,21
29,15.5,118.98530054224922,2203.9871445585386,439.6777837071118,4169.351376929941,120.0,119.86124669147486,target_achieved,21,21
30,16.5,120.74095970084252,2202.728973119076,443.7005529884153,4114.680178330514,120.0,119.96164952055275,target_achieved,21,21
31,15.5,119.25276889006629,2191.621951576639,438.41474689919835,4112.588707614788,120.0,120.15871621331868,target_achieved,21,21
32,16.5,120.648142206081,2196.2259980971367,437.2927232386531,4118.182949624345,120.0,120.1531677135734,target_achieved,21,21
33,15.5,119.84259029078525,2210.951506821498,443.6959652106165,4201.366963015825,120.0,120.09225511980046,target_achieved,21,21
34,16.0,120.0009464815435,2190.3449006323285,434.82039433291317,4146.284180878323,120.0,120.0496187265536,target_achieved,21,21
35,16.0,119.33583805044938,2196.3148170734526,438.300236727502,4137.616606268937,120.0,120.16300818648475,target_achieved,21,21
36,16.5,121.04222781568386,2199.7234366483067,440.4513780680537,4117.366674009439,120.0,120.21264860401203,target_achieved,21,21
37,15.0,118.20864894178463,2198.606884427305,438.29573909999755,4178.996732412163,120.0,119.83157411344742,target_achieved,21,21
38,17.0,120.55703373032534,2208.405590700488,439.85627486433975,4114.044498092501,120.0,119.92350805641907,target_achieved,21,21
39,15.5,119.22903936249485,2192.9831225903667,444.2928871649305,4123.573383193345,120.0,120.02701775325599,target_achieved,21,21
40,16.5,120.89397818057951,2188.130324026687,442.8315922762738,4146.798479138385,120.0,120.1361764087001,target_achieved,21,21
41,15.5,119.64940782423005,2200.8354033488863,438.0475274970329,4150.005844617052,120.0,120.26828365551202,target_achieved,21,21
42,16.0,119.54341571252077,2187.4327624855764,436.82286327892723,4144.125084712348,120.0,119.9112922396258,target_achieved,21,21
43,16.0,120.8145627882732,2202.4196898365476,439.47545022386316,4146.312719213129,120.0,119.83539758564268,target_achieved,21,21
44,15.5,120.14928817783512,2205.5676522280864,437.83815440418397,4164.801227019496,120.0,120.21141901131517,target_achieved,21,21
45,15.5,119.26785864703322,2221.8676149193307,438.4267493162363,4117.597193776985,120.0,119.73505538812952,target_achieved,21,21
46,16.5,119.0003347861098,2219.0676416972055,443.42895987987913,4136.823470714668,120.0,120.16397259202355,target_achieved,21,21
47,16.5,120.16776289957191,2214.069136438976,438.35696595234566,4120.289182088849,120.0,119.97241464936559,target_achieved,21,21
48,15.5,120.13496262699736,2196.908017892497,439.48828759730645,4137.366804197758,120.0,119.74828403874358,target_achieved,21,21
49,16.0,120.02294550416823,2216.385092368466,439.84053118898015,4153.869154647153,120.0,120.25896918606617,target_achieved,21,21
50,16.0,118.6427420596882,2200.1062992274315,437.8890334681938,4115.153635779006,120.0,120.17876037957862,target_achieved,21,21
51,17.0,120.42375985750928,2191.5583991981957,443.9334185700344,4109.698136902382,120.0,120.23433634777433,target_achieved,21,21
